1001H6100000000005UC,0000000045a,201807100001,关联测试
1001H610000000000H49,0000000014,201808020013,vv
1001H610000000000H4A,0000000015,201808020014,vv
1001H610000000000H4B,0000000016,201808020015,vv
1001H610000000000H4C,0000000017,201808020016,vv
1001H610000000000H4D,0000000018,201808020017,vv
1001H610000000000H4E,0000000019,201808020018,vv
1001H610000000000H4F,0000000020,201808020019,vv
1001H610000000000H4G,0000000021,201808020020,vv
1001H610000000000H4H,0000000022,201808020021,vv
1001H610000000000H4I,0000000023,201808020022,vv
1001H610000000000H4J,0000000024,201808020023,vv
1001H610000000000H4K,0000000050,201808020024,vv
1001H610000000000H4L,0000000051,201808020025,vv
1001H6100000000003DU,0000000036,201806270012,固定资产卡片-电脑
1001H6100000000003DV,0000000037,201806270013,固定资产卡片-电脑
1001H6100000000003DW,0000000038,201806270014,固定资产卡片-电脑
1001H6100000000003DX,0000000039,201806270015,固定资产卡片-电脑
1001H6100000000003DY,0000000040,201806270016,固定资产卡片-电脑
1001H6100000000003DZ,0000000041,201806270017,固定资产卡片-电脑
1001H6100000000003E0,0000000042,201806270018,固定资产卡片-电脑
1001H6100000000003E1,0000000043,201806270019,固定资产卡片-电脑
1001H6100000000003E2,0000000044,201806270020,固定资产卡片-电脑
1001H6100000000005US,0000000046,201807100002,固定资产卡片-打印机
1001H6100000000005UT,0000000047,201807100003,固定资产卡片-打印机
1001H6100000000006L6,0000000001,201807210001,测试自用
1001H6100000000003AZ,0000000025,201806270001,固定资产卡片-打印机
1001H6100000000003BV,0000000026,201806270002,固定资产卡片-打印机
1001H6100000000003BW,0000000027,201806270003,固定资产卡片-打印机
1001H6100000000003BX,0000000028,201806270004,固定资产卡片-打印机
1001H6100000000003BY,0000000029,201806270005,固定资产卡片-打印机
1001H6100000000003BZ,0000000030,201806270006,固定资产卡片-打印机
1001H6100000000003C0,0000000031,201806270007,固定资产卡片-打印机
1001H6100000000003C1,0000000032,201806270008,固定资产卡片-打印机
1001H6100000000003C2,0000000033,201806270009,固定资产卡片-打印机
1001H6100000000003C3,0000000034,201806270010,固定资产卡片-打印机
1001H6100000000003CZ,0000000035,201806270011,固定资产卡片-电脑
1001H6100000000005VM,0000000048,201807100004,固定资产卡片-打印机
1001H6100000000005VN,0000000049,201807100005,固定资产卡片-打印机
1001H610000000000H46,0000000011,201808020010,vv
1001H610000000000H47,0000000012,201808020011,vv
1001H610000000000H48,0000000013,201808020012,vv
1001H610000000000H4M,0000000052,201808020026,vv
1001H610000000000H4N,0000000053,201808020027,vv
1001H610000000000H4O,0000000054,201808020028,vv
1001H610000000000H4P,0000000055,201808020029,vv
1001H610000000000H4Q,0000000056,201808020030,vv
1001H610000000000H4R,0000000057,201808020031,vv
1001H610000000000H4S,0000000058,201808020032,vv
1001H610000000000H4T,0000000059,201808020033,vv
1001H610000000000H4U,0000000060,201808020034,vv
1001H610000000000H4V,0000000061,201808020035,vv
1001H610000000000H51,0000000067,201808020041,vv
1001H610000000000H54,0000000070,201808020044,vv
1001H610000000000H55,0000000071,201808020045,vv
1001H610000000000HL0,0000000099,201808020073,vv
1001H610000000000HL1,0000000100,201808020074,vv
1001H610000000000HL2,0000000101,201808020075,vv
1001H610000000000HL3,0000000102,201808020076,vv
1001H610000000000HL4,0000000103,201808020077,vv
1001H610000000000HL5,0000000104,201808020078,vv
1001H610000000000HL6,0000000105,201808020079,vv
1001H610000000000HL7,0000000106,201808020080,vv
1001H610000000000HL8,0000000107,201808020081,vv
1001H610000000000HL9,0000000108,201808020082,vv
1001H610000000000HLA,0000000109,201808020083,vv
1001H610000000000HLB,0000000110,201808020084,vv
1001H610000000000HLC,0000000111,201808020085,vv
1001H610000000000HSO,0000000112,201808030001,vv
1001H610000000000HSP,0000000113,201808030002,vv
1001H610000000000HSQ,0000000114,201808030003,vv
1001H610000000000HSR,0000000115,201808030004,vv
1001H610000000000HSS,0000000116,201808030005,vv
1001H610000000000HST,0000000117,201808030006,vv
1001H610000000000HSU,0000000118,201808030007,vv
1001H610000000000HSY,0000000122,201808030011,vv
1001H610000000000HSZ,0000000123,201808030012,vv
1001H610000000000HT0,0000000124,201808030013,vv
1001H610000000000HT1,0000000125,201808030014,vv
1001H610000000000HT2,0000000126,201808030015,vv
1001H610000000000HT3,0000000127,201808030016,vv
1001H610000000000HT4,0000000128,201808030017,vv
1001H610000000000HT5,0000000129,201808030018,vv
1001H610000000000HT6,0000000130,201808030019,vv
1001H610000000000HT7,0000000131,201808030020,vv
1001H610000000000HVM,0000000132,201808030021,vv
1001H610000000000HVN,0000000133,201808030022,vv
1001H610000000000HW2,0000000134,201808030023,vv
1001H610000000000HW3,0000000135,201808030024,vv
1001H610000000000HWS,0000000119,201808030008,vv
1001H610000000000HWT,0000000120,201808030009,vv
1001H610000000000HX7,0000000121,201808030010,0001
1001H610000000000HXH,0000000136,201808030025,111
1001H610000000000HXS,0000000137,201808030026,vv
1001H610000000000HXT,0000000138,201808030027,vv
1001AA10000000000C82,0000000001,201808050001,笔记本电脑
1001AA10000000000IIZ,0000000139,201808060001,笔记本电脑
1001AA10000000000IKT,0000000140,201808060002,笔记本电脑
1001AA10000000000IKU,0000000141,201808060003,笔记本电脑
1001AA10000000000IKV,0000000142,201808060004,笔记本电脑
1001AA10000000000IKW,0000000143,201808060005,笔记本电脑
1001AA10000000000IKX,0000000144,201808060006,笔记本电脑
1001AA10000000000IKY,0000000145,201808060007,笔记本电脑
1001H610000000000HEF,0000000002,201808020001,vv
1001H610000000000HEG,0000000003,201808020002,vv
1001H610000000000HEH,0000000004,201808020003,vv
1001H610000000000HEI,0000000005,201808020004,vv
1001H610000000000HJZ,0000000006,201808020005,vv
1001H610000000000HK0,0000000007,201808020006,vv
1001H610000000000HK1,0000000008,201808020007,vv
1001H610000000000HK2,0000000009,201808020008,vv
1001H610000000000HK3,0000000010,201808020009,vv
1001H610000000000HK4,0000000062,201808020036,vv
1001H610000000000HK5,0000000063,201808020037,vv
1001H610000000000HK6,0000000064,201808020038,vv
1001H610000000000HK7,0000000065,201808020039,vv
1001H610000000000HCQ,0000000068,201808020042,vv
1001H610000000000HCR,0000000069,201808020043,vv
1001H610000000000HK8,0000000066,201808020040,vv
1001H610000000000HK9,0000000072,201808020046,vv
1001H610000000000HKA,0000000073,201808020047,vv
1001H610000000000HKB,0000000074,201808020048,vv
1001H610000000000HKC,0000000075,201808020049,vv
1001H610000000000HKD,0000000076,201808020050,vv
1001H610000000000HKE,0000000077,201808020051,vv
1001H610000000000HKF,0000000078,201808020052,vv
1001H610000000000HKG,0000000079,201808020053,vv
1001H610000000000HKH,0000000080,201808020054,vv
1001H610000000000HKI,0000000081,201808020055,vv
1001H610000000000HKJ,0000000082,201808020056,vv
1001H610000000000HKK,0000000083,201808020057,vv
1001H610000000000HKL,0000000084,201808020058,vv
1001H610000000000HKM,0000000085,201808020059,vv
1001H610000000000HKN,0000000086,201808020060,vv
1001H610000000000HKO,0000000087,201808020061,vv
1001H610000000000HKP,0000000088,201808020062,vv
1001H610000000000HKQ,0000000089,201808020063,vv
1001H610000000000HKR,0000000090,201808020064,vv
1001H610000000000HKS,0000000091,201808020065,vv
1001H610000000000HKT,0000000092,201808020066,vv
1001H610000000000HKU,0000000093,201808020067,vv
1001H610000000000HKV,0000000094,201808020068,vv
1001H610000000000HKW,0000000095,201808020069,vv
1001H610000000000HKX,0000000096,201808020070,vv
1001H610000000000HKY,0000000097,201808020071,vv
1001H610000000000HKZ,0000000098,201808020072,vv
1001Z910000000000LML,0000000162,201808070003,hh
1001Z910000000000N5J,0000000167,201808090001,aa
1001H6100000000016WH,0000000039,0001000025,笔记本电脑
1001H6100000000016WI,0000000040,0001000026,笔记本电脑
1001H6100000000016WJ,0000000041,0001000027,笔记本电脑
1001H6100000000016WK,0000000042,0001000028,笔记本电脑
1001H6100000000016WL,0000000043,0001000029,笔记本电脑
1001H6100000000016WM,0000000044,0001000030,笔记本电脑
1001H6100000000016WN,0000000045,0001000031,笔记本电脑
1001H6100000000016WO,0000000046,0001000032,笔记本电脑
1001H6100000000016WP,0000000047,0001000033,笔记本电脑
1001H6100000000016WQ,0000000048,0001000034,笔记本电脑
1001H6100000000016WR,0000000049,0001000035,笔记本电脑
1001H610000000000K9R,0000000160,201808070001,vv
1001H610000000000KTJ,0000000161,201808070002,aa
1001Z910000000000LU4,0000000163,201808070004,mm
1001Z910000000000LUK,0000000164,201808080001,nn
1001Z910000000000LYN,0000000165,201808080002,aa
1001H610000000000L46,0000000170,201808090004,笔记本电脑
1001H610000000000L47,0000000171,201808090005,笔记本电脑
1001H610000000000L48,0000000172,201808090006,笔记本电脑
1001H610000000000L49,0000000173,201808090007,笔记本电脑
1001H610000000000L4A,0000000174,201808090008,笔记本电脑
1001H610000000000L4B,0000000175,201808090009,笔记本电脑
1001H610000000000L4C,0000000176,201808090010,笔记本电脑
1001H610000000000L4D,0000000177,201808090011,笔记本电脑
1001H610000000000L4E,0000000178,201808090012,笔记本电脑
1001H6100000000016VU,0000000016,0001000002,笔记本电脑
1001AA10000000000JCV,0000000001,201808060001,笔记本电脑
1001AA10000000000JCW,0000000002,201808060002,笔记本电脑
1001AA10000000000JCX,0000000003,201808060003,笔记本电脑
1001AA10000000000JCY,0000000004,201808060004,笔记本电脑
1001AA10000000000JCZ,0000000005,201808060005,笔记本电脑
1001AA10000000000JD0,0000000006,201808060006,笔记本电脑
1001AA10000000000JD1,0000000007,201808060007,笔记本电脑
1001AA10000000000JD2,0000000008,201808060008,笔记本电脑
1001AA10000000000JD3,0000000009,201808060009,笔记本电脑
1001AA10000000000JD4,0000000010,201808060010,笔记本电脑
1001AA10000000000JD5,0000000011,201808060011,笔记本电脑
1001AA10000000000JD6,0000000012,201808060012,笔记本电脑
1001AA10000000000JD7,0000000013,201808060013,笔记本电脑
1001AA10000000000JD8,0000000014,201808060014,笔记本电脑
1001AA10000000000IKZ,0000000146,201808060008,笔记本电脑
1001AA10000000000IL0,0000000147,201808060009,笔记本电脑
1001AA10000000000IL1,0000000148,201808060010,笔记本电脑
1001AA10000000000IL2,0000000149,201808060011,笔记本电脑
1001AA10000000000IL3,0000000150,201808060012,笔记本电脑
1001AA10000000000IL4,0000000151,201808060013,笔记本电脑
1001AA10000000000IL5,0000000152,201808060014,笔记本电脑
1001AA10000000000IL6,0000000153,201808060015,笔记本电脑
1001AA10000000000IL7,0000000154,201808060016,笔记本电脑
1001AA10000000000IL8,0000000155,201808060017,笔记本电脑
1001AA10000000000IL9,0000000156,201808060018,笔记本电脑
1001AA10000000000ILA,0000000157,201808060019,笔记本电脑
1001AA10000000000ILB,0000000158,201808060020,笔记本电脑
1001AA10000000000ILC,0000000159,201808060021,笔记本电脑
1001Z910000000000OP4,0000000168,201808090002,aa
1001H610000000000L2Y,0000000169,201808090003,笔记本电脑
1001H610000000000VEW,0000000166,@@020002,笔记本电脑
1001H610000000000VF7,0000000179,@@050003,笔记本电脑
1001H610000000000X8K,0000000182,0006000001,类别属性调整测试
1001H6100000000016VV,0000000017,0001000003,笔记本电脑
1001H6100000000016VW,0000000018,0001000004,笔记本电脑
1001H6100000000016VX,0000000019,0001000005,笔记本电脑
1001H6100000000016VY,0000000020,0001000006,笔记本电脑
1001H6100000000016VZ,0000000021,0001000007,笔记本电脑
1001H6100000000016W0,0000000022,0001000008,笔记本电脑
1001H6100000000016W1,0000000023,0001000009,笔记本电脑
1001H6100000000016W2,0000000024,0001000010,笔记本电脑
1001H6100000000016W3,0000000025,0001000011,笔记本电脑
1001H610000000000VJD,0000000180,0004000001,笔记本电脑
1001H610000000000XTZ,0000000015,0001000001,笔记本电脑
1001H6100000000016W4,0000000026,0001000012,笔记本电脑
1001H6100000000016W5,0000000027,0001000013,笔记本电脑
1001H6100000000016W6,0000000028,0001000014,笔记本电脑
1001H6100000000016W7,0000000029,0001000015,笔记本电脑
1001H6100000000016W8,0000000030,0001000016,笔记本电脑
1001H6100000000016W9,0000000031,0001000017,笔记本电脑
1001H6100000000016WA,0000000032,0001000018,笔记本电脑
1001H6100000000016WB,0000000033,0001000019,笔记本电脑
1001H6100000000016WC,0000000034,0001000020,笔记本电脑
1001H6100000000016WD,0000000035,0001000021,笔记本电脑
1001H6100000000016WE,0000000036,0001000022,笔记本电脑
1001H6100000000016WF,0000000037,0001000023,笔记本电脑
1001H6100000000016WG,0000000038,0001000024,笔记本电脑
1001H6100000000016WS,0000000050,0001000036,笔记本电脑
1001H6100000000016WT,0000000051,0001000037,笔记本电脑
1001H6100000000016WU,0000000052,0001000038,笔记本电脑
1001H6100000000016WV,0000000053,0001000039,笔记本电脑
1001H6100000000016WW,0000000054,0001000040,笔记本电脑
1001H6100000000016WX,0000000055,0001000041,笔记本电脑
1001H6100000000016WY,0000000056,0001000042,笔记本电脑
1001H6100000000016WZ,0000000057,0001000043,笔记本电脑
1001H6100000000016X0,0000000058,0001000044,笔记本电脑
1001H6100000000016X1,0000000059,0001000045,笔记本电脑
1001H6100000000016X2,0000000060,0001000046,笔记本电脑
1001H6100000000016X3,0000000061,0001000047,笔记本电脑
1001H6100000000016X4,0000000062,0001000048,笔记本电脑
1001H6100000000016X5,0000000063,0001000049,笔记本电脑
1001H6100000000016X6,0000000064,0001000050,笔记本电脑
1001H6100000000016X7,0000000065,0001000051,笔记本电脑
1001H6100000000016X8,0000000066,0001000052,笔记本电脑
1001H6100000000016X9,0000000067,0001000053,笔记本电脑
1001H6100000000016XA,0000000068,0001000054,笔记本电脑
1001H6100000000016XB,0000000069,0001000055,笔记本电脑
1001H6100000000016XC,0000000070,0001000056,笔记本电脑
1001H6100000000016XD,0000000071,0001000057,笔记本电脑
1001H6100000000016XE,0000000072,0001000058,笔记本电脑
1001H6100000000016XF,0000000073,0001000059,笔记本电脑
1001H6100000000016XG,0000000074,0001000060,笔记本电脑
1001H6100000000016XH,0000000075,0001000061,笔记本电脑
1001H6100000000016XI,0000000076,0001000062,笔记本电脑
1001H6100000000016XJ,0000000077,0001000063,笔记本电脑
1001H6100000000016XK,0000000078,0001000064,笔记本电脑
1001H6100000000016XL,0000000079,0001000065,笔记本电脑
1001H6100000000016XM,0000000080,0001000066,笔记本电脑
1001H6100000000016XN,0000000081,0001000067,笔记本电脑
1001H6100000000016XO,0000000082,0001000068,笔记本电脑
1001H6100000000016XP,0000000083,0001000069,笔记本电脑
1001H6100000000016XQ,0000000084,0001000070,笔记本电脑
1001H6100000000016XR,0000000085,0001000071,笔记本电脑
1001H6100000000016XS,0000000086,0001000072,笔记本电脑
1001H6100000000016XT,0000000087,0001000073,笔记本电脑
1001H6100000000016XU,0000000088,0001000074,笔记本电脑
1001H6100000000016XV,0000000089,0001000075,笔记本电脑
1001H6100000000016XW,0000000090,0001000076,笔记本电脑
1001H6100000000016XX,0000000091,0001000077,笔记本电脑
1001H6100000000016XY,0000000092,0001000078,笔记本电脑
1001H6100000000016XZ,0000000093,0001000079,笔记本电脑
1001H6100000000016Y0,0000000094,0001000080,笔记本电脑
1001H6100000000016Y1,0000000095,0001000081,笔记本电脑
1001H6100000000016Y2,0000000096,0001000082,笔记本电脑
1001H6100000000016Y3,0000000097,0001000083,笔记本电脑
1001H6100000000016Y4,0000000098,0001000084,笔记本电脑
1001H6100000000016Y5,0000000099,0001000085,笔记本电脑
1001H6100000000016Y6,0000000100,0001000086,笔记本电脑
1001H6100000000016Y7,0000000101,0001000087,笔记本电脑
